 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;Axel;Holmstrom;-;C;LIT;0;L;SWE;;;;;;;;;;;;;
;Markus;Hannikainen;-;LW;LIT;0;L;FIN;;;;;;;;;;;;;
;Josef;Jícha;-;C;LIT;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Jurčík;-;W;LIT;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Kaše;26/27;RW;LIT;0;P;CZE;;;;;;;;;;;;;
;David;Kaše;26/27;W;LIT;0;L;CZE;;;;;;;;;;;;;
;Petr;Koblasa;-;RW;LIT;0;P;CZE;;;;;;;;;;;;;
;Matěj;Maštalířský;-;LW;LIT;0;L;CZE;;;;;;;;;;;;;
;Theodor;Pištěk;26/27;RW;LIT;0;P;CZE;;;;;;;;;;;;;
;Matúš;Sukel;26/27;C;LIT;0;L;SVK;;;;;;;;;;;;;
;Pawel;Zygmunt;-;RW;LIT;0;P;POL;;;;;;;;;;;;;
;Aleš;Čech;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Petr;Gewiese;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Havlín;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Šimon;Kubíček;25/26;O;MBL;0;P;CZE;;;;;;;;;;;;;
;Adam;Jánošík;27/28;O;MBL;0;L;SVK;;;;;;;;;;;;;
;Karel;Křepelka;-;O;MBL;0;P;CZE;;;;;;;;;;;;;
;Alex;Lintuniemi;-;O;MBL;0;L;FIN;;;;;;;;;;;;;
;Filip;Pavlík;26/27;O;MBL;0;P;CZE;;;;;;;;;;;;;
;Filip;Pyrochta;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Martin;Skarberg;-;O;MBL;0;L;SWE;;;;;;;;;;;;;
;Adam;Vlasák;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Vojtěch;Vochvest;-;O;MBL;0;L;CZE;;;;;;;;;;;;;
;Carl;Berglund;-;C;MBL;0;L;SWE;;;;;;;;;;;;;
;Jan;Buchtele;-;LW;MBL;0;L;CZE;;;;;;;;;;;;;
;Tomáš;Fořt;27/28;C;MBL;0;L;CZE;;;;;;;;;;;;;
;Matěj;Gardoň;-;LW;MBL;0;L;CZE;;;;;;;;;;;;;
;Dávid;Gríger;27/28;C;MBL;0;P;SVK;;;;;;;;;;;;;
;Vojtěch;Hradec;-;C;MBL;0;L;CZE;;;;;;;;;;;;;
;Dominik;Lakatoš;host(-);RW;MBL;0;L;CZE;;;;;;;;;;;;;
;Jakub;Lichtag;26/27;LW;MBL;0;L;CZE;;;;;;;;;;;;;
;Vojtěch;Malínek;-;C;MBL;0;L;CZE;;;;;;;;;;;;;
;Radek;Koblížek;26/27;RW;MBL;0;P;CZE;;;;;;;;;;;;;
;Ondřej;Procházka;host(-);RW;MBL;0;L;CZE;;;;;;;;;;;;;
;Aleksi;Rekonen;-;W;MBL;0;L;FIN;;;;;;;;;;;;;
;Pavol;Skalický;28/29;C;MBL;0;P;SVK;;;;;;;;;;;;;
;Filip;Suchý;-;LW;MBL;0;L;CZE;;;;;;;;;;;;;
;Jan;Závora;-;C;MBL;0;P;CZE;;;;;;;;;;;;;
;Ondřej;Dlapa;-;O;MHK;0;L;CZE;;;;;;;;;;;;;
;Petr;Kalina;27/28;O;MHK;#ODKAZ!;L;CZE;;;;;;;;;;;;;
;Tommi;Kivisto;26/27;O;MHK;#ODKAZ!;L;FIN;;;;;;;;;;;;;
;Graeme;Mccormack;26/27;O;MHK;#ODKAZ!;P;CAN;;;;;;;;;;;;;
;TJ.;Melancon;26/27;O;MHK;#ODKAZ!;P;CAN;;;;;;;;;;;;;
;Dávid;Mudrak;27/28;O;MHK;#ODKAZ!;P;SVK;;;;;;;;;;;;;
;Tomáš;Pavelka;27/28;O;MHK;#ODKAZ!;L;CZE;;;;;;;;;;;;;
;Martin;Planek;26/27+1;O;MHK;#ODKAZ!;P;CZE;;;;;;;;;;;;;
;Michael;Vukojevic;27/28;O;MHK;#ODKAZ!;L;CAN;;;;;;;;;;;;;
;Conor;Bunnaman;26/27;C;MHK;#ODKAZ!;L;CAN;;;;;;;;;;;;;
;Aleš;Jergl;28/29;RW;MHK;#ODKAZ!;P;CZE;;;;;;;;;;;;;
